property_id,property_index,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,subject_id
74,74,"Detached, Bungalow-Raised ",Detached,,900.0,,,,,,,529000.0,,490 Kirkwood Road ,Kingston ,Ontario,K7M 3X2,44.2353,-76.5729,7590.0,,"Finished, Full ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
75,75,"Detached, Sidesplit 3 ",Detached,,1750.0,,,,,,,585000.0,,829 Larchwood Crescent ,Kingston ,Ontario,K7P 2P8,44.2656,-76.5826,4888.0,,Finished ,,Sidesplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
76,76,"Condo Townhouse, 3-Storey ",Condo Townhouse,,1300.0,,,,,,,455000.0,,1097 Craig Lane ,Kingston ,Ontario,K7M 7W6,44.2501,-76.5923,,,Other ,,3-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
77,77,"Semi-Detached, 2-Storey ",Semi-Detached,,1300.0,,,,,,,479900.0,,633 Davis Drive ,Kingston ,Ontario,K7M 7Y6,44.2534,-76.5673,3132.0,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
78,78,,Detached,,1750.0,,,,,,,662000.0,,1512 Crimson Cres ,Kingston ,Ontario,K7P 0H4,44.2645,-76.5958,3286.0,10.0,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
79,79,"Detached, 2-Storey ",Detached,,1750.0,,,,,,,662000.0,,1512 Crimson Crescent ,Kingston ,Ontario,K7P 0H4,44.2645,-76.5958,3286.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
80,80,"Semi-Detached, Backsplit 3 ",Semi-Detached,,1273.0,,,,,,,475000.0,,842 Milford Drive ,Kingston ,Ontario,K7P 1A8,44.2519,-76.5833,4978.0,,"Full, Finished ",,Backsplit 3 ,Baseboard ,,False,,False,False,,False,0
81,81,"Condo Townhouse, 2-Storey ",Condo Townhouse,,1300.0,,,,,,,425000.0,,880 Winchester Lane ,Kingston ,Ontario,K7P 2S6,44.258,-76.5784,,,Finished with Walk-Out ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
82,82,"Detached, 2-Storey ",Detached,,2250.0,,,,,,,720000.0,,269 HOLDEN Street ,Kingston ,Ontario,K7P 0L1,44.2642,-76.5902,4240.0,,"Unfinished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
83,83,"Detached, Sidesplit 4 ",Detached,,1750.0,,,,,,,574500.0,,781 Downing Street ,Kingston ,Ontario,K7M 5N3,44.2497,-76.5971,6786.0,,"Finished, Partial Basement ",,Sidesplit 4 ,Forced Air ,,False,,False,False,,False,0
84,84,"Detached, Backsplit 3 ",,,1300.0,,,,,,,470000.0,,1097 Pinewood Place ,Kingston ,Ontario,K7P 1L1,44.262,-76.582,,,Finished ,,Backsplit 3 ,Heat Pump ,,False,,False,False,,False,0
85,85,"Detached, Bungalow-Raised ",,,1300.0,,,,,,,640000.0,,1105 Dunham Street ,Kingston ,Ontario,K7P 2K2,44.255,-76.6005,,,"Finished, Full ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
86,86,"Detached, Bungalow-Raised ",Detached,,1750.0,,,,,,,710000.0,,355 Tanglewood Drive ,Kingston ,Ontario,K7M 8T8,44.2323,-76.5879,6120.0,,"Finished, Full ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
87,87,"Detached, Bungalow ",,,,,,,,,,425750.0,,792 Clark Crescent ,Kingston ,Ontario,K7M 6J4,44.2488,-76.6121,,,"Full, Partially Finished ",,Bungalow ,Forced Air ,Central Air ,False,,False,False,,False,0
88,88,"Semi-Detached, Bungalow-Raised ",,,,,,,,,,489000.0,,871 Larchwood Crescent ,Kingston ,Ontario,K7P 2P8,44.2656,-76.583,,,"Unfinished, Walk-Up ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
89,89,"Condo Apartment, 2-Storey ",Condo Apartment,,850.0,,,,,,,320000.0,,Unit 307 - 835 Milford Drive ,Kingston ,Ontario,K7P 1A7,44.2508,-76.5839,,,,,2-Storey ,Baseboard ,Window Unit(s) ,False,,False,False,,False,0
90,90,"Detached, Bungalow ",Detached,,,,,,,,,495000.0,,1949 BATH Road ,Kingston ,Ontario,K7M 4Y3,44.2373,-76.5877,20000.0,,"Full, Partially Finished ",,Bungalow ,Forced Air ,,False,,False,False,,False,0
91,91,"Detached, Backsplit 4 ",Detached,,,,,,,,,824000.0,,423 Carrie Crescent ,Kingston ,Ontario,K7M 5X7,44.233,-76.5821,7800.0,,"Finished with Walk-Out, Separate Entrance ",,Backsplit 4 ,Forced Air ,Central Air ,False,,False,False,,False,0
92,92,"Condo Townhouse, 2-Storey ",Condo Townhouse,,1100.0,,,,,,,400000.0,,1034 Craig Lane ,Kingston ,Ontario,K7M 7R8,44.249,-76.5911,,,Finished ,,2-Storey ,Forced Air ,,False,,False,False,,False,0
93,93,"Detached, Bungalow-Raised ",Detached,,900.0,,,,,,,515000.0,,782 Cedarwood Drive ,Kingston ,Ontario,K7P 1M7,44.262,-76.5795,3850.0,,"Partially Finished, Walk-Up ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
94,94,"Detached, Sidesplit 3 ",Detached,,,,,,,,,649900.0,,1070 Dillingham Street ,Kingston ,Ontario,K7P 2P4,44.2575,-76.608,4290.0,,"Crawl Space, Finished ",,Sidesplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
95,95,"Detached, 2-Storey ",Detached,,1900.0,,,,,,,760000.0,,913 Lancaster Drive ,Kingston ,Ontario,K7P 1R8,44.2562,-76.5913,5900.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
